ref_area,measure,year,value
PRT,PR_INC_DISP,2023,11.3791
PRT,PR_INC_DISP,2022,11.2417
PRT,PR_INC_DISP,2021,9.9281
PRT,PR_INC_DISP,2020,12.7928
PRT,PR_INC_MRKT,2022,28.8958
PRT,PR_INC_MRKT,2021,28.6386
POL,PR_INC_MRKT,2019,27.4385
POL,PR_INC_MRKT,2018,28.4752
POL,PR_INC_MRKT,2017,28.6799
POL,PR_INC_MRKT,2016,29.0668
POL,PR_INC_MRKT,2015,28.1136
POL,PR_INC_MRKT,2014,28.455
POL,PR_INC_MRKT,2013,27.9894
POL,PR_INC_MRKT,2012,28.1955
POL,PR_INC_MRKT,2011,27.4349
POL,PR_INC_MRKT,2010,27.7453
POL,PR_INC_DISP,2019,9.3612
POL,PR_INC_DISP,2018,9.8106
POL,PR_INC_DISP,2017,9.6449
POL,PR_INC_DISP,2016,10.2705
IRL,PR_INC_DISP,2015,10.0623
IRL,PR_INC_DISP,2014,9.4125
IRL,PR_INC_DISP,2013,9.6515
POL,PR_INC_DISP,2012,10.3804
POL,PR_INC_DISP,2011,10.6237
POL,PR_INC_DISP,2010,10.7441
POL,PR_INC_MRKT,2023,29.2367
POL,PR_INC_DISP,2023,8.8314
POL,PR_INC_DISP,2022,9.1048
POL,PR_INC_DISP,2021,8.836
POL,PR_INC_DISP,2020,9.1422
POL,PR_INC_MRKT,2022,27.2314
POL,PR_INC_MRKT,2021,27.155
NOR,PR_INC_MRKT,2021,26.57
NOR,PR_INC_MRKT,2020,26.93
NOR,PR_INC_MRKT,2019,25.88
NOR,PR_INC_MRKT,2018,25.85
NOR,PR_INC_MRKT,2017,25.8684
NOR,PR_INC_MRKT,2016,25.56
